Contract Count,ID,LGA,SEIFA,Population,TargetedGroup,Service,Indigenous,Agency
195,00265-03,Pittwater,95,63338,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,North Sydney,97,71025,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Mosman,99,30276,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Manly,96,44786,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Lane Cove,99,34807,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Ku-Ring-Gai,100,120978,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Hunters Hill,95,14689,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Hornsby,93,168614,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
191,00709-04,Upper Hunter,56,14658,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Singleton,76,23884,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Port Stephens,58,69728,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Newcastle,72,160021,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Muswellbrook,51,17045,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Maitland,70,75170,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Lake Macquarie,69,202676,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Dungog,63,9108,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
191,00709-04,Cessnock,19,54979,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
184,LEAS-36235,Tweed,45,91210,110 All (general population),A10.1 Social housing,N/A,FACS
176,LEAS-33671,Port Macquarie-Hastings,49,77481,110 All (general population),A10.1 Social housing,N/A,FACS
176,APL~11106484413~2324,Maitland,70,75170,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
174,10685~2014~2747,Blacktown,61,332424,122 Youth,A02.10 Education,N/A,Education
173,00352-03,The Hills,97,187703,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
173,00352-03,Parramatta,73,189932,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
173,00352-03,Holroyd,60,111100,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
173,00352-03,Blacktown,61,332424,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
173,00352-03,Auburn,41,85446,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
169,APL~11106484413~2112,Ryde,89,114598,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
166,00037-03,The Hills,97,187703,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
166,00037-03,Parramatta,73,189932,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
166,00037-03,Holroyd,60,111100,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
166,00037-03,Blacktown,61,332424,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
166,00037-03,Auburn,41,85446,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
164,LEAS-29471,Hurstville,78,85886,110 All (general population),A10.1 Social housing,N/A,FACS
159,LEAS-29167,Ashfield,80,44498,110 All (general population),A10.1 Social housing,N/A,FACS
157,LEAS-29016,Gunnedah,28,12826,110 All (general population),A10.1 Social housing,N/A,FACS
157,01253-03,Wollondilly,81,47084,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,01253-03,Wingecarribee,78,47584,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,01253-03,Liverpool,58,199928,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,01253-03,Fairfield,4,203109,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,01253-03,Campbelltown,38,156572,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,01253-03,Camden,87,67084,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,01253-03,Bankstown,44,200357,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Woollahra,98,58619,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Waverley,92,71769,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Sydney City,85,198331,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Sutherland,89,225070,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Rockdale,75,108072,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Randwick,88,143776,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Kogarah,86,61030,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Hurstville,78,85886,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
157,00216-03,Botany Bay,69,44742,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
156,LEAS-44737,Young,28,12641,110 All (general population),A10.1 Social housing,N/A,FACS
155,LEAS-33848,Ryde,89,114598,110 All (general population),A10.1 Social housing,N/A,FACS
155,APL~12010992766~2144,Auburn,41,85446,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
154,APL~12075893239~2032,Randwick,88,143776,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
153,LEAS-25164,Botany Bay,69,44742,110 All (general population),A10.1 Social housing,N/A,FACS
153,APL~11969792323~2210,Hurstville,78,85886,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
152,LEAS-26699,Canada Bay,90,87480,110 All (general population),A10.1 Social housing,N/A,FACS
152,APL~11106484413~2260,Gosford,75,171992,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
150,APL~11106484413~2155,The Hills,97,187703,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
149,LEAS-72970,Deniliquin,21,7437,110 All (general population),A10.1 Social housing,N/A,FACS
148,LEAS-23610,Shellharbour,53,68762,110 All (general population),A10.1 Social housing,N/A,FACS
148,02457-03,Walcha,55,3098,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Uralla,62,6408,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Tenterfield,10,6980,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Tamworth,45,60495,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Narrabri,36,13764,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Moree Plains,15,14092,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Liverpool Plains,13,7819,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Inverell,12,16846,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Gwydir,25,5080,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Guyra,18,4619,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Gunnedah,28,12826,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Glen Innes Severn,13,8966,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
148,02457-03,Armidale Dumaresq,67,25327,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
146,APL~11074397532~2208,Canterbury,34,150626,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
145,LEAS-29827,Kempsey,3,29643,110 All (general population),A10.1 Social housing,N/A,FACS
143,APL~12075893239~2527,Shellharbour,53,68762,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
143,APL~11106484413~2450,Clarence Valley,9,51003,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
142,APL~11106484413~2758,Hawkesbury,77,65527,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
142,00268-03,Port Macquarie-Hastings,49,77481,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
142,00268-03,Nambucca,6,19655,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
142,00268-03,Kempsey,3,29643,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
142,00268-03,Greater Taree,8,48941,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
142,00268-03,Great Lakes,17,36499,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
142,00268-03,Gloucester,31,5064,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
142,00268-03,Coffs Harbour,46,72382,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
142,00268-03,Bellingen,36,13032,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
139,04967-03,Wollondilly,81,47084,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
139,04967-03,Wingecarribee,78,47584,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
139,04967-03,Liverpool,58,199928,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
139,04967-03,Fairfield,4,203109,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
139,04967-03,Campbelltown,38,156572,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
139,04967-03,Camden,87,67084,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
139,04967-03,Bankstown,44,200357,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
138,APL~12075893239~2179,Camden,87,67084,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
133,LEAS-31380,Upper Hunter,56,14658,110 All (general population),A10.1 Social housing,N/A,FACS
132,APL~11969792323~2133,Burwood,79,36053,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
131,LEAS-28601,Clarence Valley,9,51003,110 All (general population),A10.1 Social housing,N/A,FACS
131,13345~2014,Lake Macquarie,69,202676,122 Youth,A02.10 Education,N/A,Education
130,LEAS-24485,Warringah,91,155289,110 All (general population),A10.1 Social housing,N/A,FACS
129,LEAS-45600,Wollondilly,81,47084,110 All (general population),A10.1 Social housing,N/A,FACS
128,05073-03,Tweed,45,91210,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
128,05073-03,Richmond Valley,5,22983,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
128,05073-03,Lismore,43,44629,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
128,05073-03,Kyogle,8,9531,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
128,05073-03,Clarence Valley,9,51003,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
128,05073-03,Byron,64,32119,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
128,05073-03,Ballina,65,41644,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,APL~12075893239~2063,Willoughby,94,74166,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
125,04881-03,Woollahra,98,58619,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Waverley,92,71769,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Sydney City,85,198331,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Sutherland,89,225070,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Rockdale,75,108072,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Randwick,88,143776,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Kogarah,86,61030,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Hurstville,78,85886,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,04881-03,Botany Bay,69,44742,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
125,00213-03,Tweed,45,91210,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
125,00213-03,Richmond Valley,5,22983,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
125,00213-03,Lismore,43,44629,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
125,00213-03,Kyogle,8,9531,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
125,00213-03,Clarence Valley,9,51003,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
125,00213-03,Byron,64,32119,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
125,00213-03,Ballina,65,41644,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
123,LEAS-26776,Cooma-Monaro,62,10216,110 All (general population),A10.1 Social housing,N/A,FACS
122,APL~12075893239~2069,Ku-Ring-Gai,100,120978,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
120,LEAS-24038,Auburn,41,85446,110 All (general population),A10.1 Social housing,N/A,FACS
119,05070-03,Wakool,54,3990,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Wagga Wagga,71,62799,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Urana,20,1147,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Tumut,27,11375,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Tumbarumba,39,3578,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Temora,30,6050,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Narrandera,12,5961,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Murrumbidgee,17,2528,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Murray,56,7466,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Lockhart,67,3080,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Leeton,33,11595,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Junee,23,6297,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Jerilderie,66,1519,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Hay,14,2989,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Gundagai,42,3755,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Griffith,48,25811,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Greater Hume,63,10258,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Deniliquin,21,7437,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Corowa,38,11455,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Cootamundra,21,7749,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Coolamon,52,4308,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Conargo,82,1535,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Carrathool,50,2795,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Bland,51,5994,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Berrigan,32,8413,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
119,05070-03,Albury,57,51082,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Weddin,34,3709,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Parkes,24,15217,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Orange,59,41431,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Oberon,52,5327,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Lachlan,26,6775,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Forbes,29,9759,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Cowra,16,12574,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Cabonne,73,13776,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Blayney,60,7409,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
118,03258-03,Bathurst,68,41682,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
117,LEAS-26593,Lismore,43,44629,110 All (general population),A10.1 Social housing,N/A,FACS
115,LEAS-25322,Broken Hill,6,19048,110 All (general population),A10.1 Social housing,N/A,FACS
115,APL~11969792323~2044,Marrickville,83,83356,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
114,06848-03,Wyong,37,159015,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
114,06848-03,Gosford,75,171992,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
113,APL~13006824004~2777,Blue Mountains,82,79688,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
112,10255-03,Wyong,37,159015,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
112,10255-03,Gosford,75,171992,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Willoughby,94,74166,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Warringah,91,155289,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Ryde,89,114598,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Pittwater,95,63338,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,North Sydney,97,71025,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Mosman,99,30276,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Manly,96,44786,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Lane Cove,99,34807,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Ku-Ring-Gai,100,120978,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Hunters Hill,95,14689,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
110,04866-03,Hornsby,93,168614,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
106,APL~13006824004~2484,Tweed,45,91210,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
106,APL~12075893239~2340,Tamworth,45,60495,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
106,APL~11106484413~2102,Pittwater,95,63338,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
104,APL~12010992766~2315,Port Stephens,58,69728,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
102,04875-03,Wollongong,65,206794,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
102,04875-03,Shoalhaven,41,99016,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
102,04875-03,Shellharbour,53,68762,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
102,04875-03,Kiama,84,21314,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
101,13412~2014,Cessnock,19,54979,122 Youth,A02.10 Education,N/A,Education
99,APL~12105690239~2207,Rockdale,75,108072,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
99,03357-07,Upper Hunter,56,14658,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
99,03357-07,Singleton,76,23884,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
99,03357-07,Port Stephens,58,69728,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
99,03357-07,Newcastle,72,160021,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
99,03357-07,Muswellbrook,51,17045,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
99,03357-07,Maitland,70,75170,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
99,03357-07,Lake Macquarie,69,202676,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
99,03357-07,Dungog,63,9108,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),N/A,FACS
