Contract Count,ID,LGA,Population,TargetedGroup,Service,Agency,Indigenous,SEIFA,Year
31,32265-01,Coffs Harbour,72382,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,46,Y 2015
31,32265-01,Gloucester,5064,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,31,Y 2015
31,32265-01,Great Lakes,36499,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,17,Y 2015
31,32265-01,Greater Taree,48941,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,8,Y 2015
31,32265-01,Kempsey,29643,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,3,Y 2015
31,32265-01,Nambucca,19655,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,6,Y 2015
31,32265-01,Port Macquarie-Hastings,77481,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,49,Y 2015
29,SaS~13006824004~2444,Port Macquarie-Hastings,77481,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,49,Y 2015
28,04071-05,Cessnock,54979,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,19,Y 2015
28,04071-05,Dungog,9108,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,63,Y 2015
28,04071-05,Lake Macquarie,202676,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,69,Y 2015
28,04071-05,Maitland,75170,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,70,Y 2015
28,04071-05,Muswellbrook,17045,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,51,Y 2015
28,04071-05,Newcastle,160021,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,72,Y 2015
28,04071-05,Port Stephens,69728,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,58,Y 2015
28,04071-05,Singleton,23884,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,76,Y 2015
28,04071-05,Upper Hunter,14658,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,56,Y 2015
27,SaS~12105690239~2752,Wollondilly,47084,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,81,Y 2015
27,SaS~13161368029~2650,Wagga Wagga,62799,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,71,Y 2015
27,33031-01,Armidale Dumaresq,25327,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,67,Y 2015
27,33031-01,Glen Innes Severn,8966,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,13,Y 2015
27,33031-01,Gunnedah,12826,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,28,Y 2015
27,33031-01,Guyra,4619,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,18,Y 2015
27,33031-01,Gwydir,5080,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,25,Y 2015
27,33031-01,Inverell,16846,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,12,Y 2015
27,33031-01,Liverpool Plains,7819,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,13,Y 2015
27,33031-01,Moree Plains,14092,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,15,Y 2015
27,33031-01,Narrabri,13764,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,36,Y 2015
27,33031-01,Tamworth,60495,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,45,Y 2015
27,33031-01,Tenterfield,6980,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,10,Y 2015
27,33031-01,Uralla,6408,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,62,Y 2015
27,33031-01,Walcha,3098,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,55,Y 2015
25,SaS~13161368029~2485,Tweed,91210,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,45,Y 2015
21,SaS~12010992766~2047,Canada Bay,87480,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,90,Y 2015
20,SaS~12105690239~2040,Leichhardt,58136,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,93,Y 2015
20,SaS~13006824004~2022,Waverley,71769,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,92,Y 2015
20,SaS~13006824004~2640,Albury,51082,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,57,Y 2015
20,SaS~13006824004~2800,Cabonne,13776,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,73,Y 2015
20,SaS~13161368029~2452,Coffs Harbour,72382,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,46,Y 2015
20,SaS~13161368029~2830,Dubbo,41573,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,54,Y 2015
19,SaS~12105690239~2063,Willoughby,74166,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,94,Y 2015
19,SaS~13006824004~2478,Ballina,41644,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,65,Y 2015
19,32354-01,Bellingen,13032,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,36,Y 2015
19,32354-01,Coffs Harbour,72382,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,46,Y 2015
19,32354-01,Gloucester,5064,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,31,Y 2015
19,32354-01,Great Lakes,36499,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,17,Y 2015
19,32354-01,Greater Taree,48941,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,8,Y 2015
19,32354-01,Kempsey,29643,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,3,Y 2015
19,32354-01,Nambucca,19655,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,6,Y 2015
19,32354-01,Port Macquarie-Hastings,77481,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,49,Y 2015
18,SaS~12105690239~2060,North Sydney,71025,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,97,Y 2015
18,SaS~13161368029~2431,Kempsey,29643,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,3,Y 2015
18,SaS~25001868542~2470,Kyogle,9531,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,8,Y 2015
18,SaS~50076560391~2536,Eurobodalla,37643,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,35,Y 2015
18,17613-05,Cessnock,54979,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,19,Y 2015
18,17613-05,Dungog,9108,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,63,Y 2015
18,17613-05,Lake Macquarie,202676,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,69,Y 2015
18,17613-05,Maitland,75170,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,70,Y 2015
18,17613-05,Muswellbrook,17045,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,51,Y 2015
18,17613-05,Newcastle,160021,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,72,Y 2015
18,17613-05,Port Stephens,69728,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,58,Y 2015
18,17613-05,Singleton,23884,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,76,Y 2015
18,17613-05,Upper Hunter,14658,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,56,Y 2015
16,SaS~13161368029~2575,Wingecarribee,47584,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,78,Y 2015
16,31679-01,Auburn,85446,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,41,Y 2015
16,31679-01,Blacktown,332424,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,61,Y 2015
16,31679-01,Holroyd,111100,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,60,Y 2015
16,31679-01,Parramatta,189932,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,73,Y 2015
16,31679-01,The Hills,187703,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,97,Y 2015
16,32234-01,Bellingen,13032,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,36,Y 2015
16,32234-01,Coffs Harbour,72382,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,46,Y 2015
16,32234-01,Gloucester,5064,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,31,Y 2015
16,32234-01,Great Lakes,36499,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,17,Y 2015
16,32234-01,Greater Taree,48941,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,8,Y 2015
16,32234-01,Kempsey,29643,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,3,Y 2015
16,32234-01,Nambucca,19655,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,6,Y 2015
16,32234-01,Port Macquarie-Hastings,77481,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,49,Y 2015
16,32603-01,Blue Mountains,79688,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,82,Y 2015
16,32603-01,Hawkesbury,65527,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,77,Y 2015
16,32603-01,Lithgow,21249,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,15,Y 2015
16,32603-01,Penrith,194134,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,71,Y 2015
14,SaS~16104341148~2580,Goulburn Mulwaree,29376,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,40,Y 2015
14,SaS~16104341148~2620,Cooma-Monaro,10216,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,62,Y 2015
14,SaS~25142107444~2480,Lismore,44629,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,43,Y 2015
13,SaS~13161368029~2020,Botany Bay,44742,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,69,Y 2015
13,SaS~13161368029~2350,Armidale Dumaresq,25327,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,67,Y 2015
13,SaS~16104341148~2795,Bathurst,41682,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,68,Y 2015
13,SaS~20106311086~2870,Parkes,15217,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,24,Y 2015
13,32057-01,Cessnock,54979,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,19,Y 2015
13,32057-01,Dungog,9108,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,63,Y 2015
13,32057-01,Lake Macquarie,202676,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,69,Y 2015
13,32057-01,Maitland,75170,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,70,Y 2015
13,32057-01,Muswellbrook,17045,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,51,Y 2015
13,32057-01,Newcastle,160021,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,72,Y 2015
13,32057-01,Port Stephens,69728,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,58,Y 2015
13,32057-01,Singleton,23884,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,76,Y 2015
13,32057-01,Upper Hunter,14658,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,56,Y 2015
13,32259-01,Gosford,171992,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,75,Y 2015
13,32259-01,Wyong,159015,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,37,Y 2015
12,32445-01,Gosford,171992,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,75,Y 2015
12,32445-01,Wyong,159015,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,37,Y 2015
12,32645-01,Bellingen,13032,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,36,Y 2015
12,32645-01,Coffs Harbour,72382,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,46,Y 2015
12,32645-01,Gloucester,5064,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,31,Y 2015
12,32645-01,Great Lakes,36499,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,17,Y 2015
12,32645-01,Greater Taree,48941,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,8,Y 2015
12,32645-01,Kempsey,29643,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,3,Y 2015
12,32645-01,Nambucca,19655,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,6,Y 2015
12,32645-01,Port Macquarie-Hastings,77481,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,49,Y 2015
11,SaS~13161368029~2453,Bellingen,13032,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,36,Y 2015
11,SaS~13161368029~2533,Kiama,21314,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,84,Y 2015
11,32263-01,Hornsby,168614,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,93,Y 2015
11,32263-01,Hunters Hill,14689,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,95,Y 2015
11,32263-01,Ku-Ring-Gai,120978,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,100,Y 2015
11,32263-01,Lane Cove,34807,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,99,Y 2015
11,32263-01,Manly,44786,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,96,Y 2015
11,32263-01,Mosman,30276,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,99,Y 2015
11,32263-01,North Sydney,71025,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,97,Y 2015
11,32263-01,Pittwater,63338,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,95,Y 2015
11,32263-01,Ryde,114598,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,89,Y 2015
11,32263-01,Warringah,155289,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,91,Y 2015
11,32263-01,Willoughby,74166,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,94,Y 2015
10,SaS~12010992766~2360,Inverell,16846,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,12,Y 2015
10,SaS~12105690239~2065,Lane Cove,34807,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,99,Y 2015
10,SaS~13161368029~2400,Moree Plains,14092,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,15,Y 2015
10,SaS~50076560391~2548,Bega Valley,33468,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,47,Y 2015
10,32183-01,Hornsby,168614,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,93,Y 2015
10,32183-01,Hunters Hill,14689,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,95,Y 2015
10,32183-01,Ku-Ring-Gai,120978,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,100,Y 2015
10,32183-01,Lane Cove,34807,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,99,Y 2015
10,32183-01,Manly,44786,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,96,Y 2015
10,32183-01,Mosman,30276,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,99,Y 2015
10,32183-01,North Sydney,71025,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,97,Y 2015
10,32183-01,Pittwater,63338,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,95,Y 2015
10,32183-01,Ryde,114598,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,89,Y 2015
10,32183-01,Warringah,155289,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,91,Y 2015
10,32183-01,Willoughby,74166,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,94,Y 2015
10,32364-01,Auburn,85446,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,41,Y 2015
10,32364-01,Blacktown,332424,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,61,Y 2015
10,32364-01,Holroyd,111100,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,60,Y 2015
10,32364-01,Parramatta,189932,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,73,Y 2015
10,32364-01,The Hills,187703,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,97,Y 2015
10,32386-01,Auburn,85446,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,41,Y 2015
10,32386-01,Blacktown,332424,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,61,Y 2015
10,32386-01,Holroyd,111100,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,60,Y 2015
10,32386-01,Parramatta,189932,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,73,Y 2015
10,32386-01,The Hills,187703,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,97,Y 2015
10,33162-01,Armidale Dumaresq,25327,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,67,Y 2015
10,33162-01,Glen Innes Severn,8966,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,13,Y 2015
10,33162-01,Gunnedah,12826,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,28,Y 2015
10,33162-01,Guyra,4619,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,18,Y 2015
10,33162-01,Gwydir,5080,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,25,Y 2015
10,33162-01,Inverell,16846,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,12,Y 2015
10,33162-01,Liverpool Plains,7819,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,13,Y 2015
10,33162-01,Moree Plains,14092,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,15,Y 2015
10,33162-01,Narrabri,13764,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,36,Y 2015
10,33162-01,Tamworth,60495,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,45,Y 2015
10,33162-01,Tenterfield,6980,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,10,Y 2015
10,33162-01,Uralla,6408,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,62,Y 2015
10,33162-01,Walcha,3098,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,55,Y 2015
10,33228-01,Blue Mountains,79688,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,82,Y 2015
10,33228-01,Hawkesbury,65527,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,77,Y 2015
10,33228-01,Lithgow,21249,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,15,Y 2015
10,33228-01,Penrith,194134,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,71,Y 2015
9,SaS~13161368029~2027,Woollahra,58619,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,98,Y 2015
9,SaS~13161368029~2343,Liverpool Plains,7819,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,13,Y 2015
9,1-2912951034,Sydney City,198331,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,85,Y 2015
9,32240-01,Albury,51082,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,57,Y 2015
9,32240-01,Berrigan,8413,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,32,Y 2015
9,32240-01,Bland,5994,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,51,Y 2015
9,32240-01,Carrathool,2795,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,50,Y 2015
9,32240-01,Conargo,1535,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,82,Y 2015
9,32240-01,Coolamon,4308,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,52,Y 2015
9,32240-01,Cootamundra,7749,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,21,Y 2015
9,32240-01,Corowa,11455,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,38,Y 2015
9,32240-01,Deniliquin,7437,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,21,Y 2015
9,32240-01,Greater Hume,10258,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,63,Y 2015
9,32240-01,Griffith,25811,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,48,Y 2015
9,32240-01,Gundagai,3755,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,42,Y 2015
